,population,state,median income,unemployment rate,adults college educated,poverty rate,image_src
Baton Rouge,221453,Louisiana,"50,304",5.5%,36.6%,22.4%,https://upload.wikimedia.org/wikipedia/commons/thumb/7/77/Louisiana_Old_State_Capitol_recolorized.jpg/2000px-Louisiana_Old_State_Capitol_recolorized.jpg
Santa Clarita,221345,California,"111,236",4.6%,39.4%,7.5%,https://upload.wikimedia.org/wikipedia/commons/a/a0/2000_0820_TowncenterFountain.jpg
San Bernardino,220328,California,"62,801",5.3%,12.8%,17.5%,https://upload.wikimedia.org/wikipedia/commons/9/98/SanBernardinoStationStreetside_%28cropped%29.jpg
Hialeah,220292,Florida,"52,674",3.1%,21.4%,17.1%,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e5/Hialeah_-_Flickr_-_Phillip_Pessar.jpg/2000px-Hialeah_-_Flickr_-_Phillip_Pessar.jpg
Frisco,219587,Texas,"145,914",2.4%,66.7%,2.9%,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d7/Frisco_June_2019_05_%28George_A._Purefoy_Municipal_Center_and_Frisco_Square%29.jpg/2000px-Frisco_June_2019_05_%28George_A._Purefoy_Municipal_Center_and_Frisco_Square%29.jpg
Modesto,218069,California,"73,275",6.8%,20.5%,16.2%,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b5/Gallo_Center_for_the_Arts_Modesto_%28cropped%29.JPG/2000px-Gallo_Center_for_the_Arts_Modesto_%28cropped%29.JPG
Cape Coral,216992,Florida,"76,991",3.4%,26.7%,8.4%,https://upload.wikimedia.org/wikipedia/commons/thumb/2/25/Cape_Coral%2C_Florida.jpg/2000px-Cape_Coral%2C_Florida.jpg
Fontana,212475,California,"93,581",6.3%,22.9%,8.5%,https://upload.wikimedia.org/wikipedia/commons/7/77/Fontana_Center_Stage_Theater_-_panoramio_%28cropped2%29.jpg
Moreno Valley,211924,California,"86,909",5.6%,17.3%,12.1%,https://upload.wikimedia.org/wikipedia/commons/a/ad/Sunnymead_Ranch_Lake.jpg
Des Moines,211034,Iowa,"58,018",4.8%,29.0%,14.7%,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0c/Morning_Skyline_-_Des_Moines%2C_Iowa_-_Winter_on_the_Des_Moines_River_%2824805016620%29.jpg/2000px-Morning_Skyline_-_Des_Moines%2C_Iowa_-_Winter_on_the_Des_Moines_River_%2824805016620%29.jpg
Rochester,209352,New York,"43,631",7.2%,29.3%,26.3%,https://upload.wikimedia.org/wikipedia/commons/e/e9/Downtown_Rochester%2C_NY_HDR_by_patrickashley.jpg
Fayetteville,208873,North Carolina,"56,685",8.4%,29.4%,16.6%,https://upload.wikimedia.org/wikipedia/commons/thumb/3/38/Fayetteville%2C_NC_Downtown_Skyline.jpg/2000px-Fayetteville%2C_NC_Downtown_Skyline.jpg
Yonkers,208121,New York,"67,456",5.2%,34.1%,15.0%,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d0/Yonkers%2C_NY_%2853566551424%29.jpg/2000px-Yonkers%2C_NY_%2853566551424%29.jpg
McKinney,207507,Texas,"104,619",2.6%,56.1%,4.6%,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a2/McKinney%2C_Texas.jpg/2000px-McKinney%2C_Texas.jpg
Worcester,205319,Massachusetts,"61,935",6.8%,34.8%,19.9%,https://upload.wikimedia.org/wikipedia/commons/thumb/9/90/Downtown_Worcester%2C_Massachusetts.jpg/2000px-Downtown_Worcester%2C_Massachusetts.jpg
Salt Lake City,204657,Utah,"75,529",3.0%,50.3%,13.7%,https://upload.wikimedia.org/wikipedia/commons/thumb/0/03/Salt_Lake_City%2C_August_2012_%287707261420%29_%28cropped%29.jpg/2000px-Salt_Lake_City%2C_August_2012_%287707261420%29_%28cropped%29.jpg
Little Rock,202864,Arkansas,"55,065",2.3%,41.0%,18.5%,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3d/William_J._Clinton_Presidential_Library%2C_Little_Rock%2C_Arkansas_LCCN2011633870.tif/lossy-page1-2000px-William_J._Clinton_Presidential_Library%2C_Little_Rock%2C_Arkansas_LCCN2011633870.tif.jpg
Augusta,202096,Georgia,"49,838",7.3%,25.5%,16.7%,https://upload.wikimedia.org/wikipedia/commons/thumb/4/41/Augusta%2C_GA_Downtown_Skyline_2017.jpg/2000px-Augusta%2C_GA_Downtown_Skyline_2017.jpg
Sioux Falls,202078,South Dakota,"71,246",2.4%,39.4%,10.1%,https://upload.wikimedia.org/wikipedia/commons/thumb/9/92/Falls_Park_and_Downtown_09-17-23.jpg/2000px-Falls_Park_and_Downtown_09-17-23.jpg
Grand Prairie,201843,Texas,"72,271",3.3%,28.7%,9.9%,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f1/Grand_Prairie_May_2019_27_%28Market_Square_water_tower%29.jpg/2000px-Grand_Prairie_May_2019_27_%28Market_Square_water_tower%29.jpg
Tallahassee,201731,Florida,"53,867",4.8%,51.9%,23.2%,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f5/Florida_Supreme_Court_2022.jpg/2000px-Florida_Supreme_Court_2022.jpg
Amarillo,201291,Texas,"62,260",3.3%,25.8%,13.2%,https://upload.wikimedia.org/wikipedia/commons/f/f3/Amarillo_Skyline.jpg
